tag,release_datetime
v1.1.0-beta,2024-10-24T08:28:17
v1.1.1-beta,2024-10-31T10:24:17
v1.1.2-beta,2024-11-07T14:21:21
v1.1.4-beta,2024-11-21T11:44:49
v1.1.5-beta,2024-11-28T11:05:30
v1.1.6-beta,2024-12-05T13:29:51
v1.1.7-beta,2025-01-08T16:08:58
v1.1.8-beta,2025-01-20T09:06:44
v1.2.0-beta,2025-03-19T15:00:47
v1.2.1-beta,2025-03-19T16:22:24
v1.2.2-beta,2025-03-19T17:33:09
PR-809,2025-05-27T15:21:09
PR-809,2025-05-28T10:09:16
v1.3.1-beta,2025-06-20T15:15:23
v1.3.2-beta,2025-06-24T14:34:33
v1.4.0-beta,2025-06-27T13:04:48
v1.4.1-beta,2025-07-02T14:17:33
v1.4.2-beta,2025-07-07T12:49:49
v1.4.3-beta,2025-07-14T08:08:20
v1.4.4-beta,2025-07-17T08:35:08
v1.4.5-beta,2025-07-23T15:19:06
v1.4.6-beta,2025-07-31T14:48:25
v1.5.0-beta,2025-08-15T08:43:02
v1.5.1-beta,2025-08-27T11:28:15
v1.5.2-beta,2025-09-03T12:23:23
v1.6.0-beta,2025-09-11T11:45:13
v1.6.1-beta,2025-09-17T12:01:05
v1.6.2-beta,2025-10-01T12:00:57
v1.6.4-beta,2025-10-09T09:42:30
v1.6.5-beta,2025-10-17T13:27:49
v1.6.6-beta,2025-10-23T10:15:47
v1.6.7-beta,2025-10-29T13:46:56
v1.6.8-beta,2025-11-05T13:12:32
v1.6.9-beta,2025-11-13T09:58:28
v1.6.10-beta,2025-11-20T17:09:00
v1.6.11-beta,2025-11-26T15:05:09
v1.6.12-beta,2025-12-03T14:04:32
v1.6.13-beta,2025-12-10T14:44:53
v1.6.14-beta,2026-01-07T14:47:41
v1.6.14-beta,2026-01-08T12:20:40
v1.7.0-beta,2026-01-08T15:42:28
v1.8.0-beta,2026-01-08T16:52:11
v1.8.1-beta,2026-01-21T11:29:16
v1.8.2-beta,2026-01-21T16:50:24
v1.8.3-beta,2026-01-28T17:10:38
v1.8.4-beta,2026-02-04T16:59:12
v1.8.5-beta,2026-02-11T09:47:53
v1.8.7-beta,2026-02-24T11:35:01
v1.8.8-beta,2026-03-05T13:53:01
v1.8.9-beta,2026-03-12T11:27:33
v1.8.10-beta,2026-03-26T15:34:51
v1.8.11-beta,2026-03-30T11:08:24
v1.8.12-beta,2026-04-08T15:16:30
v1.8.13-beta,2026-04-13T17:36:55
v1.8.15-beta,2026-04-28T10:20:17
